name,last_name, first_name,pitcher_id,team_name,pitch_hand,avg_speed,pitches_thrown,total_pitches,pitch_type,pitch_type_name,vertical_break,horizonal_break
 Antonio Senzatela,Senzatela, Antonio,622608,COL,R,78.2,99,1521,CUKC,Curveball,50.8,5.9
 David Peterson,Peterson, David,656849,NYM,L,78.5,95,1889,CUKC,Curveball,52.5,7.3
 Chris Archer,Archer, Chris,502042,MIN,R,81.7,94,1787,CUKC,Curveball,46.6,5.0
 Dillon Peters,Peters, Dillon,596071,PIT,L,77.3,92,634,CUKC,Curveball,56.6,11.7
 Will Smith,Smith, Will,519293,HOU,L,76.9,90,985,CUKC,Curveball,54.6,8.9
 Vladimir Gutierrez,Gutierrez, Vladimir,661269,CIN,R,78.4,89,684,CUKC,Curveball,52.2,15.1
 Daulton Jefferies,Jefferies, Daulton,641726,OAK,R,80.2,83,611,CUKC,Curveball,44.7,5.1
 Erasmo Ramírez,Ramírez, Erasmo,541640,WSH,R,80.6,82,1222,CUKC,Curveball,46.7,7.2
 Bryan Shaw,Shaw, Bryan,543766,CLE,R,82.7,81,969,CUKC,Curveball,52.9,6.8
 Trevor Gott,Gott, Trevor,641627,MIL,R,82.7,79,761,CUKC,Curveball,49.9,10.0
 Reynaldo López,López, Reynaldo,625643,CWS,R,80.4,78,985,CUKC,Curveball,50.4,9.4
 Tucker Davidson,Davidson, Tucker,656353,LAA,L,78.4,77,912,CUKC,Curveball,53.3,8.0
 Spencer Howard,Howard, Spencer,675921,TEX,R,75.0,76,692,CUKC,Curveball,66.1,6.2
 Konnor Pilkington,Pilkington, Konnor,663455,CLE,L,77.0,75,1039,CUKC,Curveball,57.3,6.3
 Josh Fleming,Fleming, Josh,676596,TB,L,79.5,72,662,CUKC,Curveball,48.0,12.5
 Adrian Morejon,Morejon, Adrian,670970,SD,L,80.1,70,540,CUKC,Curveball,51.2,10.2
 Aníbal Sánchez,Sánchez, Aníbal,434671,WSH,R,75.4,69,1232,CUKC,Curveball,51.1,3.0
 Jimmy Lambert,Lambert, Jimmy,669424,CWS,R,76.8,67,818,CUKC,Curveball,65.4,5.9
 Tyler Gilbert,Gilbert, Tyler,656457,AZ,L,76.2,64,564,CUKC,Curveball,60.3,6.6
 Jake Woodford,Woodford, Jake,663765,STL,R,75.3,59,697,CUKC,Curveball,66.2,10.7
 Craig Stammen,Stammen, Craig,489334,SD,R,79.6,59,701,CUKC,Curveball,53.5,8.0
 Kirk McCarty,McCarty, Kirk,668948,CLE,L,77.1,58,574,CUKC,Curveball,54.5,9.1
 Ty Blach,Blach, Ty,621389,COL,L,79.2,58,674,CUKC,Curveball,49.9,4.5
 Elvin Rodriguez,Rodriguez, Elvin,660730,DET,R,78.5,55,534,CUKC,Curveball,50.9,8.9
 Matt Foster,Foster, Matt,641582,CWS,R,79.6,53,768,CUKC,Curveball,53.3,2.4
 Joey Wentz,Wentz, Joey,666214,DET,L,75.4,52,555,CUKC,Curveball,58.8,8.6
 Anthony Banda,Banda, Anthony,607455,NYY,L,81.1,50,551,CUKC,Curveball,48.8,7.0
 Ian Kennedy,Kennedy, Ian,453178,AZ,R,79.6,50,867,CUKC,Curveball,50.5,8.3
 Sean Newcomb,Newcomb, Sean,656794,CHC,L,78.9,50,552,CUKC,Curveball,59.9,10.0
 Drew Smith,Smith, Drew,622098,NYM,R,77.8,49,780,CUKC,Curveball,56.2,15.1
 Joe Barlow,Barlow, Joe,669618,TEX,R,81.3,48,554,CUKC,Curveball,50.2,1.8
 Tanner Banks,Banks, Tanner,621383,CWS,L,82.1,48,897,CUKC,Curveball,36.1,12.9
 Jacob deGrom,deGrom, Jacob,594798,NYM,R,83.4,48,940,CUKC,Curveball,41.6,7.3
 Ken Waldichuk,Waldichuk, Ken,686610,OAK,L,75.2,47,586,CUKC,Curveball,58.3,15.5
 Hunter Harvey,Harvey, Hunter,640451,WSH,R,82.8,44,661,CUKC,Curveball,52.0,8.1
 Cole Ragans,Ragans, Cole,666142,TEX,L,76.3,44,706,CUKC,Curveball,62.3,11.2
 Chase Anderson,Anderson, Chase,502624,CIN,R,77.8,38,493,CUKC,Curveball,61.8,6.1
