name,avg_speed_FF,vertical_break_FF,horizonal_break_FF,avg_speed_SIFT,vertical_break_SIFT,horizonal_break_SIFT,avg_speed_CT,vertical_break_CT,horizonal_break_CT,avg_speed_CB,vertical_break_CB,horizonal_break_CB,avg_speed_SL,vertical_break_SL,horizonal_break_SL,avg_speed_CH,vertical_break_CH,horizonal_break_CH,kmeans
 Louis Head,93.6,15.7,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.5,43.2,13.0,0.0,0.0,0.0,5
 Tim Hill,91.5,28.3,17.4,89.5,38.5,15.9,88.9,29.2,8.0,0.0,0.0,0.0,82.4,36.5,1.6,0.0,0.0,0.0,7
 Tanner Houck,95.2,20.9,10.4,94.5,31.6,16.6,0.0,0.0,0.0,0.0,0.0,0.0,85.4,37.0,11.1,0.0,0.0,0.0,7
 Kyle Nelson,91.9,17.4,3.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.3,38.2,6.2,0.0,0.0,0.0,5
 Aníbal Sánchez,89.9,17.1,3.7,89.1,21.0,12.3,87.3,23.5,0.2,75.4,51.1,3.0,83.2,34.6,5.1,79.9,35.3,13.4,2
 Marcus Stroman,92.4,18.8,4.2,92.0,29.0,9.0,89.4,30.9,2.6,0.0,0.0,0.0,84.7,38.3,13.4,0.0,0.0,0.0,7
 Chase Silseth,95.4,14.1,7.3,94.3,20.5,14.7,0.0,0.0,0.0,0.0,0.0,0.0,83.7,45.0,7.3,0.0,0.0,0.0,7
 Wyatt Mills,91.8,24.9,13.9,91.3,32.1,15.0,0.0,0.0,0.0,0.0,0.0,0.0,80.8,35.8,7.0,0.0,0.0,0.0,7
 Seth Martinez,91.9,19.1,10.3,90.9,30.1,14.9,0.0,0.0,0.0,0.0,0.0,0.0,79.6,35.7,12.7,86.5,37.2,15.2,3
 Jeurys Familia,95.4,16.4,10.2,95.2,26.8,15.5,0.0,0.0,0.0,0.0,0.0,0.0,88.7,28.1,0.6,0.0,0.0,0.0,7
 Dany Jiménez,93.9,13.4,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.9,41.2,2.0,0.0,0.0,0.0,5
 Aaron Sanchez,92.4,18.2,11.2,92.1,22.5,16.4,0.0,0.0,0.0,79.1,54.6,12.8,0.0,0.0,0.0,87.8,29.3,15.7,6
 Reiver Sanmartin,90.9,21.3,13.6,90.5,28.9,17.5,0.0,0.0,0.0,0.0,0.0,0.0,82.0,39.0,5.8,85.2,38.7,16.9,3
